institution_name,administrative_unit_aun,school_branch,category,status,phone_number,web_address,county,city,primary_administrator,school_year,latitude,longitude
"AAA School of Trucking, Inc",426510819,0000,Private Licensed School,Open,2673245957,http://www.aaaschooloftrucking.com,Philadelphia,Philadelphia,Mr Ryan A Soloby,SY2021,39.9527237,-75.1635262
"AAA School of Trucking, Inc.",415228149,0000,Private Licensed School,Open,7176523652,http://www.aaaschooloftrucking.com/,Dauphin,Harrisburg,Ms Susan     First,SY2021,40.2663107,-76.8861122
Academy for Media Production (The),412015229,0000,Private Licensed School,Open,7173344487,https://amp-school.com/,Adams,McSherrystown,Mr Paul T Chiacchierini,SY2021,39.8038439,-77.019242
Academy of Massage Therapy & Bodyworks,423461299,0000,Private Licensed School,Open,6104685497,http://www.massage-training.net/,Montgomery,Pottstown,Ms Angela  Pio Wagner,SY2021,40.2452976,-75.6496424
Academy Pittsburgh,402021239,0000,Private Licensed School,Open,4128742500,http://www.academypgh.com,Allegheny,Pittsburgh,Mr John  Lange,SY2021,40.4416941,-79.9900861
Ace Training School,423463109,0000,Private Licensed School,Open,2156352089,http://www.hrsat.org/,Montgomery,Willow Grove,Dr Han  Ryoo,SY2021,40.1439985,-75.1157286
Albert School (The),423468279,0000,Private Licensed School,Open,2156350945,http://www.albertschool.org,Montgomery,Elkins Park,Ms Debbie  Amerman,SY2021,40.0770553,-75.1268413
Albright College,414060204,0000,Private College and University,Open,6109212381,https://www.albright.edu,Berks,Reading,Dr Jacquelyn S Fetrow,SY2021,40.335345,-75.9279495
All-State Career School,402027899,0000,Private Licensed School,Open,4128231818,https://www.allstatecareer.edu,Allegheny,West Mifflin,Ms Heather   Powell,SY2021,40.3634026,-79.8664375
All-State Career School,414060459,0000,Private Licensed School,Open,6103621124,https://www.allstatecareer.edu,Delaware,Essington,Mr Edward   Rito,SY2021,39.8620572,-75.2971309
All-State Career School,414060459,0000,Specialized Associate Degree,Open,6103621124,https://www.allstatecareer.edu,Delaware,Essington,Mr Edward   Rito,SY2021,39.8620572,-75.2971309
